Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Bahamas, The",BHS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,188281882.393754,210284029.492962,235353815.9397,266062954.50581,299223721.05686,339896179.473505,389425886.293748,453681723.337591,494517977.217599,541492640.275627,567006845.57913,679535213.255205,710279951.8564,876724605.230371,601319732.616971,663176664.520563,750413498.012593,1070542472.61847,1274477880.52557,1246649509.33012,1400928838.26378,1494485086.20786,1770748663.59365,1996436628.08703,2246851633.69545,2626461031.86154,2898852368.40103,3130723131.16885,3040510047.84692,2956545711.49773,3073669668.81329,3066883019.30724,3199907511.15253,3995583277.41652,4524381727.67078,4210703058.91646,5122396140.40363,7112414997.16116,7732621289.95358,8038576050.11802,8364132220.34527,8693917886.86502,9332502943.83458,9932046009.27073,10182281243.3224,10489877722.9474,10639029294.8162,10143379941.9409,10067958322.5478,10080280049.5727,10549574624.0381,10557814146.5445,10527072740.2164,10798735841.5769,10897477619.5575,11533374350.0355,
Bosnia and Herzegovina,BIH,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875913666.69696,3782196014.26806,4960336194.3928,5240627571.22871,5571967140.63511,6029457851.59511,6637842375.19053,7691983335.62342,9759422294.4497,11970263488.3892,13226127294.9708,14752174305.0086,17759101583.7386,18576352905.9705,18361572260.8787,18340658864.4204,17987631525.2238,18664824656.4711,18449635807.7978,17865089857.3328,17403496866.6638,17216572029.115,
Belarus,BLR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18298282167.5628,16344415720.564,14906307360.8066,13921302665.1119,14726429287.1096,15513426317.8536,15627844107.366,14076152620.9506,13772556470.8183,12918230624.031,13639588901.4672,15937561788.9524,21170212854.6121,27219212791.604,33759615816.6515,41172719671.4323,52095424949.1,53840611000.1693,58935966468.1272,59936389061.9613,63144621858.4777,66375023080.971,71983693038.2576,63737187366.6475,53447766212.0598,50237147714.7988,
Belize,BLZ,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,31789828.6326715,33772556.5778029,35977587.1028116,39090352.1317307,43098505.6325732,47247511.0679165,48696673.2378802,49636626.1263502,51620036.2934176,56173515.782971,65850449.0234358,77516233.6474191,95608918.4033439,112442977.523589,107821099.247793,117099226.025236,128662105.974328,158196087.822751,205133422.388101,211220402.898531,195610956.876918,179372316.884239,186159782.678322,198229225.56433,229547539.986729,280639803.509746,335542573.297096,380883572.155822,423127553.559446,462894322.529143,520446406.120754,550910734.379587,559537169.106283,591887823.964602,614854620.320196,639583195.824097,640578636.383525,687542067.784005,779983034.621287,801111105.603074,845813946.40226,929573973.691715,992496720.137612,1041228736.41202,1099931473.61755,1115725820.46971,1206053721.20887,1295340359.9312,1276496038.67183,1364037333.51144,1421765977.38909,1474636699.71589,1533693617.81453,1628225031.72444,1624785589.29327,1644113941.24563,
Bermuda,BMU,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,101020617.849543,103133764.933726,115558704.882757,123406062.823551,144470552.667435,166795582.537125,171697811.581801,180438733.729437,196388330.908805,219088361.786198,246373722.704551,291944818.771533,346454386.216783,401302668.386387,441158980.981874,478238950.940253,518830572.018796,575771698.478711,699065834.609906,777336485.81594,759980792.094681,829157959.57327,931451796.273383,1016836211.57449,1214742354.50898,1390423914.72355,1552984509.99029,1559537559.3123,1605479678.10345,1616975712.00502,1699099795.9905,1819770144.89293,1882075403.77613,2048861894.88451,,,,,,,,,,,,7633498267.85062,7864787750.08338,7323676392.59775,7192513833.17832,6942456235.84222,6873693138.65871,6899462134.79822,,,,,
Bolivia,BOL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,2790114807.8604,3054660541.68047,3490234430.15379,4129443830.70152,4580628942.14839,5149282230.43944,4999268471.44106,4973849664.1949,5153886820.7211,5162581523.22395,4672827392.71064,4615380370.25085,4683537118.39512,4826758444.59626,4935699967.73487,5187895363.88336,5500518670.05585,5786270407.813,6076528715.47878,6481999492.85096,6996581524.4425,7562667189.87471,8000748518.08313,8051803262.50126,8287259669.74407,8178363428.93434,8013344090.32899,8087236437.14587,8660892404.42606,9396877380.62814,10417496306.8553,11706796608.9633,14340297703.1157,16050387875.7973,17924601874.252,20274309617.3524,23313311176.6272,27255101523.5192,30352501210.8595,32208420031.022,33490607446.7798,34578215399.6773,
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,23652719263.6785,27284844196.4268,33783381116.4391,38464481847.5917,42676319834.3488,49333934414.1925,59181570691.8089,77769954639.8911,102771057123.646,126660628603.433,149591618100.551,167757714503.168,193343515409.989,232359917428.957,265943037420.998,258616663815.923,254812549863.468,223410392284.419,215480414611.018,213647286293.257,248978509417.029,288960953821.376,325226621205.02,404313302388.913,407396519747.757,496943272786.701,488536360423.024,484379062394.234,482312479827.048,608397907313.642,733743624740.24,838750277670.388,822021536449.577,710242402447.616,686200222612.892,593073200874.256,555578636010.182,542633572646.96,615433495632.49,743948279947.323,912891083269.791,1177407436419.25,1462594474950.36,1613997943076.66,1891074481217.25,2188472521212.3,2463466593519.87,2576101176588.84,2454180027393.09,2078318829471.24,1837591588006.5,1800567337005.08,
Barbados,BRB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,1286503247.71079,1462770653.69469,1629192792.6571,1731878895.64931,1778344127.92543,1870524631.17438,1941035085.32975,2013088772.55034,2140153556.04172,2241347794.05704,2355001429.95879,2477796380.74436,2590873875.98704,2710849919.08092,2987718436.23226,2956492231.13805,2974760071.49956,3164769368.07908,3454356220.8074,3736696213.98535,3976780064.25889,4325598526.37821,4487972846.68762,4452594277.16802,4482384020.94307,4340853764.75013,4520522770.66294,4498400839.31232,4439826160.38717,4352102484.71644,4335056183.88961,4362455898.56096,
Brunei Darussalam,BRN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039388888.59987,3223742289.21268,3615543339.06564,4152276582.33767,4233401373.5335,4367066978.86535,4659608877.45411,4938511100.89571,5059605340.64855,4603000557.73631,4579468536.46341,4892094612.36351,5465151257.7887,5942531887.29554,6290382174.72331,7184962887.2025,8429133526.82658,10210159494.3845,11595950040.9033,12956614022.6802,12460515797.7028,12942642447.6753,13983786699.8792,16906557353.8286,18329233026.3448,17675337794.4163,16111237317.7553,13920155127.7276,12687637416.2162,
Bhutan,BTN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,123578596.146614,119619852.643934,134961598.537583,140353844.382124,168350821.339412,243529407.313146,280008790.703787,297979946.260657,309821167.900242,267854394.196656,252933232.516443,235128980.166994,251041641.99507,260798549.825127,288336406.813236,318569966.169687,310137299.314305,338025657.985815,438794480.54991,476373452.665972,516184443.557332,586131471.874117,680300627.038813,797661159.71477,894180872.303584,1112865113.25861,1214273463.85262,1296285018.86694,1430276271.2006,1592524546.86182,1721775938.86816,1758910380.4828,1813799371.19488,1888725220.13435,2007015932.40171,2151988707.26549,
Botswana,BWA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,40039628.2726193,43033223.0737432,46662157.146467,50923125.3711746,55864808.8211964,60076058.4369854,70620628.275421,85153108.9242702,101233742.033403,130858670.067553,171567620.087543,240921477.068481,313360442.338357,385962403.362469,419293613.198891,467867971.418803,571999743.357808,770029872.16945,997612673.00698,1248746108.85074,1242997147.34705,1163898480.73895,1119498570.30312,1146114043.61165,1281640353.50261,1547477240.11899,2381897523.45254,2887783427.20579,3505106338.02584,4068851286.62279,4455086845.70007,4655509300.44569,4238211767.19836,4795962411.45594,4787832578.21278,5125345560.12178,5053944942.55301,5072614898.8435,5217033317.76701,5465280228.63335,4991383257.85551,5851631446.73585,6928491162.79127,8881531306.75518,9983426335.22159,10750130104.6541,10992333008.1811,10405708783.6076,11223879133.9978,13804283529.8766,15345630846.6428,15930350410.7421,15846007725.2134,14751849470.8886,14853971385.5204,15423556411.7613,
